timestamp_utc,run_id,broker,cpu_perc,mem_used,mem_limit,mem_perc
2026-04-21T20:03:30Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,17.55%,173.5MiB,1GiB,16.94%
2026-04-21T20:03:32Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,21.54%,170.9MiB,1GiB,16.69%
2026-04-21T20:03:34Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,22.35%,170.5MiB,1GiB,16.65%
2026-04-21T20:03:36Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.05%,170.3MiB,1GiB,16.63%
2026-04-21T20:03:38Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,59.40%,209.8MiB,1GiB,20.49%
2026-04-21T20:03:40Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.94%,167.3MiB,1GiB,16.34%
2026-04-21T20:03:42Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.42%,166.9MiB,1GiB,16.30%
2026-04-21T20:03:45Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.26%,165.2MiB,1GiB,16.13%
2026-04-21T20:03:47Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,22.52%,164.6MiB,1GiB,16.07%
2026-04-21T20:03:49Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.50%,164.3MiB,1GiB,16.05%
2026-04-21T20:03:51Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,68.81%,164.8MiB,1GiB,16.09%
2026-04-21T20:03:53Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.15%,164.3MiB,1GiB,16.04%
2026-04-21T20:03:55Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.17%,164.1MiB,1GiB,16.03%
2026-04-21T20:03:57Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.47%,164.3MiB,1GiB,16.05%
2026-04-21T20:03:59Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.08%,163.8MiB,1GiB,16.00%
2026-04-21T20:04:01Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,65.37%,214MiB,1GiB,20.90%
2026-04-21T20:04:03Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,19.43%,163.2MiB,1GiB,15.94%
2026-04-21T20:04:05Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,19.59%,161.9MiB,1GiB,15.81%
2026-04-21T20:04:07Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,20.01%,160MiB,1GiB,15.63%
2026-04-21T20:04:09Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,19.42%,159.1MiB,1GiB,15.54%
2026-04-21T20:04:11Z,rabbitmq-r1-s10240-q10000-131514012,rabbitmq,0.46%,158MiB,1GiB,15.43%
2026-04-21T20:04:18Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,40.18%,156.8MiB,1GiB,15.31%
2026-04-21T20:04:20Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,47.08%,156.6MiB,1GiB,15.29%
2026-04-21T20:04:22Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,47.28%,156.8MiB,1GiB,15.32%
2026-04-21T20:04:24Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,73.66%,158.4MiB,1GiB,15.46%
2026-04-21T20:04:26Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,48.45%,158MiB,1GiB,15.43%
2026-04-21T20:04:28Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,47.71%,157.5MiB,1GiB,15.38%
2026-04-21T20:04:30Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,45.25%,156.7MiB,1GiB,15.30%
2026-04-21T20:04:32Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,48.43%,156.8MiB,1GiB,15.31%
2026-04-21T20:04:34Z,rabbitmq-r1-s1024-q45000-101120286,rabbitmq,87.75%,206.8MiB,1GiB,20.20%
