run_id,broker,message_size_bytes,target_rps,warmup_seconds,duration_seconds,sent,processed,producer_errors,consumer_errors,lost,throughput_sent_msg_s,throughput_processed_msg_s,latency_avg_ms,latency_p95_ms,latency_max_ms,backlog_end,degraded,cpu_avg_perc,cpu_p95_perc,cpu_max_perc,ram_avg_mb,ram_max_mb,ram_avg_perc,ram_max_perc,timestamp_utc
rabbitmq-r1-s10240-q10000-131514012,rabbitmq,10240,10000,10,30,23558,23558,0,0,0,785.27,785.27,4.704,16.093,72.599,0,False,25.69,65.37,68.81,169.562,214.0,16.56,20.9,2026-04-21T20:04:11.998016+00:00
rabbitmq-r1-s1024-q45000-101120286,rabbitmq,1024,45000,5,20,48792,48792,0,0,0,2439.6,2439.6,8.771,57.981,81.418,0,False,51.805,73.66,87.75,161.138,206.8,15.735,20.2,2026-04-21T20:04:44.581485+00:00
redis-r1-s102400-q2000-1675921712,redis,102400,2000,5,20,1815,1815,0,0,0,90.75,90.75,22.492,35.116,75.773,0,False,16.888,72.66,79.07,142.294,251.0,13.895,24.51,2026-04-21T20:05:15.999914+00:00
redis-r1-s102400-q4000-2418611837,redis,102400,4000,5,20,1986,1986,0,0,0,99.3,99.3,20.714,31.848,57.531,0,False,25.855,98.5,101.2,151.978,267.6,14.842,26.13,2026-04-21T20:05:47.311912+00:00
rabbitmq-r1-s128-q10000-1783823605,rabbitmq,128,10000,10,30,78210,78210,0,0,0,2607.0,2607.0,13.755,70.574,179.774,0,False,67.439,100.91,102.96,161.43,205.4,15.765,20.06,2026-04-21T20:06:33.658256+00:00
rabbitmq-r1-s1024-q12000-125607763,rabbitmq,1024,12000,5,20,46670,46670,0,0,0,2333.5,2333.5,7.214,53.999,73.009,0,False,57.104,86.15,102.64,162.777,210.3,15.897,20.53,2026-04-21T20:07:05.241404+00:00
rabbitmq-r1-s128-q5000-1498129,rabbitmq,128,5000,10,30,98080,98080,0,0,0,3269.33,3269.33,11.159,65.942,116.342,0,False,68.237,102.7,103.13,165.333,214.8,16.146,20.98,2026-04-21T20:07:51.623117+00:00
redis-r1-s1024-q18000-108904620,redis,1024,18000,5,20,66406,66406,0,0,0,3320.3,3320.3,2.86,4.308,12.36,0,False,27.362,30.78,30.91,62.024,107.3,6.055,10.48,2026-04-21T20:08:24.283248+00:00
redis-r1-s1024-q1000-178921346,redis,1024,1000,10,30,30000,30000,0,0,0,1000.0,1000.0,0.278,0.413,5.632,0,False,13.103,15.38,38.33,43.62,94.09,4.26,9.19,2026-04-21T20:09:10.545309+00:00
redis-r1-s1024-q14000-420331042,redis,1024,14000,5,20,58707,58707,0,0,0,2935.35,2935.35,2.939,5.507,36.889,0,False,26.491,28.16,51.05,62.08,91.41,6.062,8.93,2026-04-21T20:09:43.048294+00:00
