broker,message_size_bytes,target_rps,runs,degraded_runs,stable_degraded,throughput_processed_msg_s,latency_p95_ms,latency_avg_ms,lost,backlog_end,cpu_avg_perc,cpu_p95_perc,cpu_max_perc,ram_avg_mb,ram_max_mb
rabbitmq,128,1000,3,0,False,1000.0,1.297,1.249,0,0,25.045,72.34,76.61,139.9,188.1
redis,128,1000,3,0,False,1000.0,0.278,0.208,0,0,10.866,13.53,13.78,14.012,16.59
rabbitmq,128,5000,3,0,False,3268.9,65.942,11.159,0,0,68.237,96.46,103.13,141.371,184.9
redis,128,5000,3,0,False,4667.77,3.572,2.23,0,0,35.773,39.2,44.98,27.568,41.16
rabbitmq,128,10000,3,0,False,3250.07,66.793,11.997,0,0,69.317,100.91,102.96,154.043,202.6
redis,128,10000,3,0,False,4682.53,3.634,2.342,0,0,36.258,41.36,49.54,33.201,90.43
rabbitmq,1024,1000,3,0,False,1000.0,1.665,1.455,0,0,25.305,66.9,74.86,141.962,190.6
redis,1024,1000,3,0,False,1000.0,0.38,0.278,0,0,9.65,11.96,13.23,35.343,56.88
rabbitmq,1024,5000,3,0,False,2269.63,53.569,6.913,0,0,53.045,92.98,101.81,150.586,197.1
redis,1024,5000,3,0,False,3099.8,6.029,3.525,0,0,29.122,53.4,72.28,100.648,156.4
rabbitmq,1024,10000,3,0,False,2253.1,56.63,8.646,0,0,51.805,89.51,102.15,139.371,188.0
redis,1024,10000,3,0,False,3062.97,5.761,3.416,0,0,30.446,46.5,95.45,91.792,161.8
rabbitmq,1024,12000,3,0,False,2309.6,50.695,5.287,0,0,51.762,79.08,96.93,140.315,177.7
redis,1024,12000,3,0,False,3269.7,4.518,2.835,0,0,27.662,28.03,70.88,65.629,108.6
rabbitmq,1024,14000,3,0,False,2311.7,48.818,5.654,0,0,52.934,70.88,89.16,118.062,161.4
redis,1024,14000,3,0,False,3205.2,5.092,2.939,0,0,26.85,28.16,51.05,65.072,108.0
rabbitmq,1024,16000,3,0,False,2319.05,60.404,9.548,0,0,52.783,72.76,101.99,141.454,188.8
redis,1024,16000,3,0,False,3209.7,5.879,3.223,0,0,31.547,30.8,65.72,62.583,105.6
rabbitmq,1024,18000,3,0,False,2291.75,58.971,9.097,0,0,54.303,83.92,101.88,130.054,179.7
redis,1024,18000,3,0,False,3420.85,4.17,2.589,0,0,26.639,30.4,30.72,63.938,110.4
rabbitmq,1024,20000,3,0,False,2333.5,59.724,9.617,0,0,52.446,77.96,92.4,144.338,191.6
redis,1024,20000,3,0,False,3250.5,5.229,3.199,0,0,30.178,28.16,71.75,63.22,109.0
rabbitmq,1024,25000,3,0,False,2305.35,57.832,8.945,0,0,53.263,71.83,102.62,128.115,176.5
redis,1024,25000,3,0,False,3227.2,4.929,2.979,0,0,28.581,30.58,41.96,61.01,105.0
rabbitmq,1024,30000,3,0,False,2297.95,58.461,9.482,0,0,53.258,73.52,101.93,146.108,193.6
redis,1024,30000,3,0,False,3245.7,4.97,3.099,0,0,29.612,33.89,50.97,72.789,110.7
rabbitmq,1024,35000,3,0,False,2253.7,58.322,9.086,0,0,54.8,90.89,103.0,140.385,190.7
redis,1024,35000,3,0,False,3255.4,5.717,3.035,0,0,28.006,30.29,66.68,61.601,106.3
rabbitmq,1024,40000,3,0,False,2235.95,52.448,6.24,0,0,53.687,76.45,102.19,136.892,184.2
redis,1024,40000,3,0,False,3256.4,4.839,2.913,0,0,30.653,35.05,68.51,87.501,142.7
rabbitmq,1024,45000,3,0,False,2357.55,57.307,8.771,0,0,53.575,76.42,102.24,139.723,187.1
redis,1024,45000,3,0,False,3233.95,5.19,3.145,0,0,27.167,28.17,32.7,60.975,105.3
rabbitmq,1024,50000,3,0,False,2314.55,57.553,8.481,0,0,53.242,63.44,96.45,139.931,165.0
redis,1024,50000,3,0,False,3258.5,4.599,2.85,0,0,30.42,35.31,64.45,63.194,107.9
rabbitmq,10240,1000,3,0,False,756.5,32.518,6.673,0,0,28.078,80.51,85.67,142.143,175.8
redis,10240,1000,3,0,False,755.07,6.976,4.432,0,0,20.084,58.73,102.21,210.685,367.2
rabbitmq,10240,5000,3,0,False,751.8,19.814,5.531,0,0,27.129,70.22,101.02,117.133,164.3
redis,10240,5000,3,0,False,762.83,6.85,4.341,0,0,15.216,49.58,78.09,205.096,374.5
rabbitmq,10240,10000,3,0,False,758.83,18.768,5.424,0,0,25.69,65.37,71.61,134.129,167.7
